Voltage,Current,Ah,Wh,Power,Battery_Temp_degC,Time,Chamber_Temp_degC
4.0635,-0.86888,-0.12376,-0.46045,-3.5306938800000003,27.11018,0.0,25.0
4.05771,-0.86888,-0.13824,-0.51928,-3.5256630648000002,26.89723,60.0010022521019,25.0
4.05578,-0.8697,-0.145,-0.5467,-3.5273118660000002,26.67306,87.99700811505318,25.0
4.10227,0.0,-0.145,-0.5467,0.0,26.06782,388.0060024559498,25.0
4.10291,0.0,-0.145,-0.5467,0.0,25.84366,688.006004691124,25.0
4.10356,0.0,-0.145,-0.5467,0.0,25.6307,988.0100000649691,25.0
4.1042,0.0,-0.145,-0.5467,0.0,25.6307,1288.0060091614723,25.0
4.1042,0.0,-0.145,-0.5467,0.0,25.6307,1588.0090087652206,25.0
4.1042,0.0,-0.145,-0.5467,0.0,25.6307,1888.0030062049627,25.0
4.1042,0.0,-0.145,-0.5467,0.0,25.6307,1888.0030062049627,25.0
4.01653,-0.86888,-0.26866,-1.00289,-3.4898825864000003,27.28951,6868.191000446677,25.0
4.01074,-0.8697,-0.28315,-1.06104,-3.4881405780000003,27.09897,6928.1940042972565,25.0
4.00817,-0.86888,-0.29001,-1.08854,-3.4826187496,26.87481,6956.599000096321,25.0
4.05595,0.0,-0.29001,-1.08854,0.0,26.25836,7256.60300552845,25.0
4.05723,0.0,-0.29001,-1.08854,0.0,26.03419,7556.602001935244,25.0
4.05723,0.0,-0.29001,-1.08854,0.0,25.82124,7856.602999940515,25.0
4.05788,0.0,-0.29001,-1.08854,0.0,25.83245,8156.604008004069,25.0
4.05788,0.0,-0.29001,-1.08854,0.0,25.61949,8456.610004976392,25.0
4.05788,0.0,-0.29001,-1.08854,0.0,25.6307,8756.602000817657,25.0
4.05788,0.0,-0.29001,-1.08854,0.0,25.6307,8756.614000350237,25.0
4.05852,0.0,-0.29001,-1.08854,0.0,25.64191,9056.62900954485,25.0
4.05852,0.0,-0.29001,-1.08854,0.0,25.6307,9356.619999557734,25.0
4.05852,0.0,-0.29001,-1.08854,0.0,25.6307,9656.622003391385,25.0
4.05852,0.0,-0.29001,-1.08854,0.0,25.6307,9956.623001396656,25.0
4.05852,0.0,-0.29001,-1.08854,0.0,25.6307,10256.62300363183,25.0
4.05852,0.0,-0.29001,-1.08854,0.0,25.64191,10556.623005867004,25.0
4.05852,0.0,-0.29001,-1.08854,0.0,25.64191,10556.623005867004,25.0
3.95606,-0.8697,-0.4136,-1.53958,-3.440585382,27.28951,15536.821008101106,25.0
3.95026,-0.86888,-0.42809,-1.59685,-3.4323019088,26.87481,15596.829000860453,25.0
3.94383,-0.86888,-0.44258,-1.65404,-3.4267150104,26.87481,15656.828001514077,25.0
3.93804,-0.86888,-0.45707,-1.71114,-3.4216841952,26.67306,15716.828007996082,25.0
3.93161,-0.86888,-0.47156,-1.76814,-3.4160972968,26.67306,15776.820008084178,25.0
3.92517,-0.86888,-0.48605,-1.82506,-3.4105017096,26.46011,15836.826009303331,25.0
3.91938,-0.86888,-0.50054,-1.8819,-3.4054708943999996,26.24715,15896.821006760001,25.0
