Voltage,Current,Ah,Wh,Power,Battery_Temp_degC,Time,Chamber_Temp_degC
2.90813,0.0,0.0,0.0,0.0,27.28951,0.0,25.0
2.92486,0.0,0.0,0.0,0.0,27.07656,60.00699698925018,25.0
2.93258,0.0,0.0,0.0,0.0,26.8636,120.00099867582321,25.0
2.93644,0.0,0.0,0.0,0.0,26.65065,180.0019908696413,25.0
2.93966,0.0,0.0,0.0,0.0,26.66185,240.00499472022057,25.0
2.94223,0.0,0.0,0.0,0.0,26.66185,300.0039953738451,25.0
2.94416,0.0,0.0,0.0,0.0,26.43769,360.0059933960438,25.0
2.94609,0.0,0.0,0.0,0.0,26.4489,420.00399827957153,25.0
2.94738,0.0,0.0,0.0,0.0,26.43769,480.0019931048155,25.0
2.94931,0.0,0.0,0.0,0.0,26.23594,540.0039911270142,25.0
2.94931,0.0,0.0,0.0,0.0,26.23594,540.0039911270142,25.0
3.41062,2.89997,0.04833,0.15975,9.8906956814,26.23594,600.0169929116964,25.0
3.51485,2.89916,0.09665,0.3274,10.190112526,26.43769,660.0189909338951,25.0
3.5393,2.89997,0.14498,0.49803,10.263863821000001,26.8636,720.0160000473261,25.0
3.55153,2.89916,0.19331,0.66935,10.2964537148,27.27831,780.0099916756153,25.0
3.56568,2.89997,0.24163,0.84132,10.340365029600001,27.70422,840.0109939277172,25.0
3.58048,2.89916,0.28996,1.01398,10.3803843968,27.70422,900.0169951468706,25.0
3.59592,2.89997,0.33829,1.18741,10.4280601224,28.11892,960.012998431921,25.0
3.61136,2.89997,0.38662,1.36157,10.472835659200001,28.33188,1020.010993257165,25.0
3.62552,2.89916,0.43494,1.53644,10.5109625632,28.54483,1080.0099939107895,25.0
3.63903,2.89916,0.48327,1.71199,10.550130214800001,28.54483,1140.008994564414,25.0
3.65125,2.89997,0.53159,1.88816,10.5885154625,28.53362,1200.0149957835674,25.0
3.66348,2.89916,0.57991,2.06488,10.6210146768,28.55604,1260.016993805766,25.0
3.67506,2.89997,0.62824,2.24221,10.657563748200001,28.53362,1320.0099997222424,25.0
3.68664,2.89916,0.67657,2.42011,10.688159222400001,28.75779,1380.0169967114925,25.0
3.69822,2.89997,0.7249,2.59856,10.7247270534,28.71296,1440.0139957666397,25.0
3.70916,2.89916,0.77322,2.77754,10.7534483056,28.74658,1500.013992190361,25.0
3.7201,2.89916,0.82155,2.95708,10.785165116,28.74658,1560.0160002708435,25.0
3.73103,2.89997,0.86988,3.13716,10.8198750691,28.74658,1620.0139950960875,25.0
3.74197,2.89997,0.91821,3.31773,10.8516007409,28.95954,1680.0149973481894,25.0
3.75291,2.89916,0.96653,3.49881,10.880286555600001,28.75779,1740.0179911404848,25.0
3.76385,2.89916,1.01485,3.68042,10.912003366,28.75779,1800.0159960240126,25.0
3.77478,2.89916,1.06318,3.86259,10.9436911848,28.97074,1860.011999309063,25.0
3.78637,2.89997,1.11151,4.04528,10.9803594089,28.97074,1920.0180005282164,25.0
3.79795,2.89997,1.15983,4.22854,11.0139410615,28.95954,1980.0179969519377,25.0
3.81017,2.89997,1.20816,4.41239,11.0493786949,28.95954,2040.0159917771816,25.0
3.82368,2.89997,1.25649,4.59686,11.0885572896,29.17249,2100.0169940292835,25.0
3.83719,2.89997,1.30481,4.78198,11.127735884300002,29.17249,2160.0170005112886,25.0
3.85135,2.89997,1.35314,4.96777,11.1687994595,29.37424,2220.0089905411005,25.0
3.86615,2.89997,1.40147,5.15425,11.211719015500002,29.38545,2280.017999187112,25.0
3.88159,2.89916,1.44979,5.34146,11.2533504644,29.37424,2340.014998242259,25.0
3.89767,2.89997,1.49812,5.52944,11.303126069900001,29.5872,2400.008999928832,25.0
3.91376,2.89997,1.54645,5.71821,11.3497865872,29.38545,2460.012999549508,25.0
3.93113,2.89916,1.59477,5.90775,11.396974850800001,29.5872,2520.0099986046553,25.0
3.94786,2.89916,1.6431,6.09812,11.4454777976,29.5872,2580.00899925828,25.0
3.96459,2.89997,1.69142,6.2893,11.4971920623,29.57599,2640.0169920176268,25.0
3.98196,2.89997,1.73975,6.48131,11.5475645412,29.5984,2700.016998499632,25.0
3.99933,2.89997,1.78808,6.67417,11.597937020100002,29.80015,2760.01799069345,25.0
4.01606,2.89916,1.8364,6.86785,11.643200509600002,29.80015,2820.011992380023,25.0
4.03343,2.89916,1.88472,7.06232,11.6935589188,29.78894,2880.00899143517,25.0
4.05016,2.89916,1.93305,7.25762,11.7420618656,29.80015,2940.016994252801,25.0
4.06688,2.89997,1.98138,7.45379,11.793829993600001,29.80015,3000.0169906765223,25.0
4.08426,2.89997,2.02971,7.65075,11.844231472199999,29.80015,3060.011998191476,25.0
4.10227,2.89997,2.07803,7.84856,11.8964599319,30.01311,3120.0109988451004,25.0
4.12029,2.89916,2.12636,8.04722,11.9453799564,30.01311,3180.012996867299,25.0
4.13894,2.89916,2.17468,8.24679,11.9994492904,30.01311,3240.017992258072,25.0
4.1576,2.89997,2.22301,8.44728,12.056915272000001,30.01311,3300.011993944645,25.0
4.17691,2.89997,2.27134,8.64865,12.112913692700001,30.21486,3360.008992999792,25.0
4.19621,2.89916,2.31967,8.851,12.1654841836,30.21486,3420.016995817423,25.0
4.20007,2.56514,2.36556,9.04369,10.7737675598,30.21486,3480.010997503996,25.0
4.20007,2.25399,2.40568,9.21222,9.4669157793,30.01311,3540.0139912962914,25.0
4.20007,1.99103,2.44101,9.3606,8.3624653721,30.01311,3600.012991949916,25.0
4.20007,1.76481,2.47226,9.49183,7.4123255367,29.5984,3660.016991570592,25.0
4.19942,1.57616,2.50007,9.60862,6.6189578272,29.39666,3720.010993257165,25.0
4.20007,1.41773,2.52497,9.71319,5.9545652411,29.17249,3780.013997107744,25.0
4.20007,1.2838,2.54743,9.80751,5.392049866000001,28.97074,3840.011991932988,25.0
4.20007,1.16456,2.56777,9.89295,4.8912335192,28.55604,3900.009996816516,25.0
4.20007,1.06411,2.58632,9.97087,4.4693364877,28.35429,3960.0089974701405,25.0
4.20007,0.9751,2.60327,10.04204,4.095488257,28.13013,4020.017996057868,25.0
4.20007,0.89996,2.61886,10.10751,3.7798949972,27.91717,4080.0179924815893,25.0
4.19942,0.82973,2.63325,10.16794,3.4843847566,27.92838,4140.0149915367365,25.0
4.19942,0.76685,2.64651,10.22364,3.220325227,27.71543,4200.013992190361,25.0
4.19942,0.70968,2.6588,10.27527,2.9802443856,27.51368,4260.018997639418,25.0
4.20007,0.65986,2.6702,10.32311,2.7714581902,27.30072,4320.016992464662,25.0
4.19942,0.61005,2.68077,10.36754,2.561856171,27.30072,4380.012995749712,25.0
4.19942,0.5684,2.69061,10.40883,2.386950328,27.08777,4440.010990574956,25.0
4.19942,0.53001,2.69976,10.44726,2.2257345942,26.87481,4500.010997056961,25.0
4.19942,0.49653,2.7083,10.48312,2.0851380126,26.67306,4560.0139908492565,25.0
4.20007,0.46305,2.71628,10.51664,1.9448424135000002,26.67306,4620.013997331262,25.0
4.19942,0.43038,2.72373,10.54795,1.8073463796,26.46011,4680.013993754983,25.0
4.19942,0.40507,2.73071,10.57725,1.7010590594,26.4489,4740.014996007085,25.0
4.19942,0.3773,2.73721,10.60455,1.5844411660000002,26.46011,4800.014992430806,25.0
4.20007,0.3528,2.74329,10.63011,1.481784696,26.46011,4860.00999994576,25.0
4.20007,0.33075,2.74898,10.654,1.3891731525,26.47131,4920.013999566436,25.0
4.20007,0.30707,2.75429,10.6763,1.2897154949,26.25836,4980.018994957209,25.0
4.19942,0.28747,2.75925,10.69713,1.2072072674,26.24715,5040.015994012356,25.0
4.20007,0.26705,2.76388,10.71654,1.1216286935000002,26.24715,5100.011997297406,25.0
4.19942,0.24908,2.76818,10.73463,1.0459915335999999,26.24715,5160.01799851656,25.0
4.19942,0.23275,2.7722,10.75149,0.977415005,26.03419,5220.010994374752,25.0
4.19942,0.21642,2.77593,10.76716,0.9088384764,26.03419,5280.011996626854,25.0
4.20007,0.20008,2.77939,10.7817,0.8403500056000001,26.0454,5340.017997846007,25.0
4.20007,0.18783,2.78261,10.79521,0.7888991481000001,26.03419,5400.01199953258,25.0
4.19942,0.1715,2.78559,10.80775,0.7202005300000001,26.03419,5460.015999153256,25.0
4.20007,0.16007,2.78837,10.8194,0.6723052049,26.0454,5520.015995576978,25.0
4.19942,0.14945,2.79094,10.8302,0.627603319,25.84366,5580.017993599176,25.0
4.20007,0.1372,2.79334,10.84028,0.576249604,25.84366,5640.011995285749,25.0
4.19942,0.12985,2.79557,10.84965,0.545294687,25.83245,5700.010995939374,25.0
4.20007,0.12005,2.79765,10.85838,0.5042184035,25.83245,5760.010992363095,25.0
4.20007,0.11025,2.79958,10.8665,0.4630577175,25.83245,5820.016993582249,25.0
4.19942,0.1029,2.80137,10.87403,0.432120318,25.84366,5880.015994235873,25.0
4.20007,0.09718,2.80305,10.88106,0.40816280260000004,25.84366,5940.010991692543,25.0
4.19942,0.09147,2.80461,10.88761,0.38412094739999997,25.84366,6000.013995543122,25.0
4.20007,0.08412,2.80607,10.89374,0.3533098884,25.61949,6060.0109945982695,25.0
4.20007,0.0784,2.80743,10.89947,0.329285488,25.7652,6120.016000047326,25.0
4.19942,0.07432,2.80871,10.90484,0.3121008944,25.83245,6180.014990642667,25.0
4.20007,0.0686,2.80991,10.90987,0.288124802,25.6307,6240.012995526195,25.0
4.19942,0.06452,2.81102,10.91454,0.27094657839999997,25.61949,6300.012991949916,25.0
4.20007,0.06125,2.81205,10.91886,0.2572542875,25.61949,6360.012998431921,25.0
4.20007,0.05635,2.81301,10.9229,0.2366739445,25.61949,6420.009997487068,25.0
4.20007,0.05145,2.81391,10.92667,0.2160936015,25.83245,6480.018000304699,25.0
4.19942,0.04982,2.81395,10.92685,0.20921510440000002,25.83245,6482.90499933064,25.0
4.19492,0.0,2.81395,10.92685,0.0,25.83245,6542.914993688464,25.0
4.19363,0.0,2.81395,10.92685,0.0,25.83245,6602.916991710663,25.0
4.19299,0.0,2.81395,10.92685,0.0,25.83245,6662.916998192668,25.0
4.19235,0.0,2.81395,10.92685,0.0,25.61949,6722.918996214867,25.0
4.1917,0.0,2.81395,10.92685,0.0,25.61949,6782.914999499917,25.0
4.19106,0.0,2.81395,10.92685,0.0,25.6307,6842.909996956587,25.0
4.19106,0.0,2.81395,10.92685,0.0,25.6307,6902.913996577263,25.0
4.19042,0.0,2.81395,10.92685,0.0,25.61949,6962.917996197939,25.0
4.18977,0.0,2.81395,10.92685,0.0,25.83245,7022.916996851563,25.0
4.18977,0.0,2.81395,10.92685,0.0,25.64191,7082.911994308233,25.0
4.18913,0.0,2.81395,10.92685,0.0,25.64191,7082.911994308233,25.0
4.18141,0.0,2.81395,10.92685,0.0,26.03419,10682.918991521,25.0
