Voltage,Current,Ah,Wh,Power,Battery_Temp_degC,Time,Chamber_Temp_degC
3.34242,0.0,0.0,0.0,0.0,28.57846,0.0,25.0
3.34371,0.0,0.0,0.0,0.0,28.14134,59.99400168657303,25.0
3.34436,0.0,0.0,0.0,0.0,27.72663,119.99399811029434,25.0
3.345,0.0,0.0,0.0,0.0,27.51368,179.99400459229946,25.0
3.345,0.0,0.0,0.0,0.0,27.09897,240.00199735164642,25.0
3.34564,0.0,0.0,0.0,0.0,26.88602,299.9950032681227,25.0
3.34564,0.0,0.0,0.0,0.0,26.68427,359.9929980933666,25.0
3.34629,0.0,0.0,0.0,0.0,26.68427,419.99300457537174,25.0
3.34629,0.0,0.0,0.0,0.0,26.47131,479.9959983676672,25.0
3.34629,0.0,0.0,0.0,0.0,26.26957,539.9920016527176,25.0
3.34629,0.0,0.0,0.0,0.0,26.26957,540.0030054152012,25.0
3.53609,2.89916,0.0484,0.17041,10.251690684400002,26.68427,600.0109981745481,25.0
3.55732,2.89916,0.09673,0.34181,10.3132398512,27.11018,660.0149977952242,25.0
3.57855,2.89997,0.14505,0.51422,10.3776876435,27.31193,720.0119968503714,25.0
3.59978,2.89916,0.19338,0.68767,10.4363381848,27.51368,780.0109975039959,25.0
3.62037,2.89916,0.24171,0.86217,10.496031889200001,27.71543,840.0149971246719,25.0
3.6371,2.89916,0.28996,1.03726,10.544534836000002,27.72663,900.0110004097223,25.0
3.65125,2.89997,0.33828,1.21338,10.5885154625,27.93959,960.0090052932501,25.0
3.66412,2.89997,0.38669,1.39045,10.6258380764,27.93959,1020.0140006840229,25.0
3.67699,2.89916,0.43494,1.56756,10.660182328400001,28.14134,1080.0100039690733,25.0
3.68921,2.89916,0.48334,1.74583,10.6956100636,28.3655,1140.0149993598461,25.0
3.70144,2.89916,0.53159,1.92413,10.7310667904,28.35429,1200.0090010464191,25.0
3.71302,2.89997,0.57999,2.10354,10.767646609400002,28.3655,1260.0109990686178,25.0
3.72396,2.89997,0.62832,2.28324,10.7993722812,28.56725,1320.0120013207197,25.0
3.73489,2.89997,0.67664,2.46346,10.8310689533,28.56725,1380.015005171299,25.0
3.74583,2.89916,0.72497,2.64423,10.859760502800002,28.769,1440.0109983980656,25.0
3.75677,2.89916,0.77329,2.82552,10.891477313200001,28.78021,1500.0110048800707,25.0
3.76835,2.89997,0.82163,3.00738,10.9281019495,28.769,1560.0180018693209,25.0
