Voltage,Current,Ah,Wh,Power,Battery_Temp_degC,Time,Chamber_Temp_degC
4.09052,-0.86888,-0.01449,,-3.5541710176,25.65312,0.0,0.0
4.07894,-0.8697,-0.02898,,-3.547454118,25.64191,59.99600328505039,0.0
4.07057,-0.8697,-0.04347,,-3.5401747290000003,25.85486,120.0020045042038,0.0
4.06414,-0.8697,-0.05796,,-3.5345825580000003,25.85486,179.99900355935097,0.0
4.05835,-0.8697,-0.07244,,-3.529546995,25.85486,239.99500684440136,0.0
4.0532,-0.8697,-0.08693,,-3.5250680400000003,25.86607,299.99599903821945,0.0
4.0487,-0.86888,-0.10142,,-3.517834456,25.85486,359.9990028887987,0.0
4.04484,-0.86888,-0.11591,,-3.5144805792,25.85486,419.9950061738491,0.0
4.04034,-0.86888,-0.1304,,-3.5105706191999997,25.84366,480.00500053167343,0.0
4.03648,-0.86888,-0.14488,,-3.5072167424,25.84366,540.0069985538721,0.0
4.03648,-0.8697,-0.14501,,-3.510526656,25.85486,540.4780078679323,0.0
4.09391,0.0,-0.14501,,0.0,25.84366,840.4960043728352,0.0
4.09648,0.0,-0.14501,,0.0,25.64191,1140.4900018125772,0.0
4.09777,0.0,-0.14501,,0.0,25.6307,1440.4920056462288,0.0
4.09841,0.0,-0.14501,,0.0,25.6307,1740.4930036514997,0.0
4.09905,0.0,-0.14501,,0.0,25.6307,2040.4920000582933,0.0
4.09905,0.0,-0.14501,,0.0,25.64191,2340.4929980635643,0.0
4.09905,0.0,-0.14501,,0.0,25.64191,2340.4929980635643,0.0
4.04291,-0.8697,-0.1595,,-3.516118827,25.42895,13202.296997979283,0.0
4.03583,-0.8697,-0.17398,,-3.509961351,25.44016,13262.297004461288,0.0
4.03004,-0.86888,-0.18847,,-3.5016211551999996,25.42895,13322.29000031948,0.0
4.0249,-0.8697,-0.20296,,-3.50045553,25.51862,13382.291002571583,0.0
4.02039,-0.8697,-0.21745,,-3.496533183,25.6307,13442.297999560833,0.0
4.01589,-0.8697,-0.23194,,-3.492619533,25.60828,13502.29499861598,0.0
4.01074,-0.8697,-0.24643,,-3.4881405780000003,25.42895,13562.300004065037,0.0
4.00559,-0.86888,-0.26091,,-3.4803770391999995,25.6307,13622.297003120184,0.0
4.00045,-0.8697,-0.2754,,-3.479191365,25.6307,13682.296999543905,0.0
3.9953,-0.86888,-0.28989,,-3.471436264,25.41774,13742.293998599052,0.0
3.9953,-0.86888,-0.29001,,-3.471436264,25.6307,13742.709003388882,0.0
4.05144,0.0,-0.29001,,0.0,25.42895,14042.72400252521,0.0
4.05337,0.0,-0.29001,,0.0,25.41774,14342.717999964952,0.0
4.05402,0.0,-0.29001,,0.0,25.41774,14642.715004831553,0.0
4.05466,0.0,-0.29001,,0.0,25.61949,14942.716002836823,0.0
4.0553,0.0,-0.29001,,0.0,25.42895,15242.719998210669,0.0
4.0553,0.0,-0.29001,,0.0,25.64191,15542.724999412894,0.0
4.0553,0.0,-0.29001,,0.0,25.64191,15542.724999412894,0.0
4.05595,0.0,-0.29001,,0.0,25.42895,15842.736005410552,0.0
4.05595,0.0,-0.29001,,0.0,25.44016,16142.734006047249,0.0
4.05595,0.0,-0.29001,,0.0,25.6307,16442.732006683946,0.0
4.05595,0.0,-0.29001,,0.0,25.6307,16742.731998860836,0.0
4.05595,0.0,-0.29001,,0.0,25.6307,17042.734002694488,0.0
