epoch,train_loss,train_ml_loss,train_phys_loss,val_loss,val_ml_loss,val_phys_loss,val_rmse,val_mae,val_max_error,lr,elapsed_s
0,0.001503,0.001231,0.002724,0.002605,0.001996,0.006091,0.044853,0.037393,0.277517,1.0e-03,10.2
1,0.000429,0.000231,0.001987,0.002496,0.001928,0.005674,0.044167,0.037673,0.162577,1.0e-03,20.3
2,0.000387,0.000189,0.001982,0.002382,0.001742,0.006403,0.041658,0.034259,0.155543,1.0e-03,30.3
3,0.000361,0.000161,0.001994,0.002015,0.001381,0.006343,0.037115,0.030432,0.194582,1.0e-03,40.4
4,0.000349,0.000149,0.001995,0.001954,0.001257,0.006968,0.035342,0.027471,0.184286,1.0e-03,50.5
5,0.000341,0.000141,0.001997,0.002007,0.001360,0.006472,0.036743,0.028606,0.214450,1.0e-03,60.6
6,0.000335,0.000135,0.001999,0.001893,0.001214,0.006797,0.034713,0.026315,0.249541,1.0e-03,70.7
7,0.000330,0.000130,0.002001,0.001994,0.001313,0.006808,0.036192,0.027842,0.239565,1.0e-03,80.8
8,0.000327,0.000126,0.002002,0.001797,0.001116,0.006815,0.033411,0.025834,0.294945,1.0e-03,91.0
9,0.000324,0.000124,0.002002,0.002213,0.001631,0.005815,0.040303,0.032552,0.337397,1.0e-03,101.4
10,0.000321,0.000121,0.002001,0.002004,0.001360,0.006442,0.036895,0.029621,0.333826,1.0e-03,111.6
11,0.000319,0.000119,0.002003,0.001952,0.001285,0.006669,0.035647,0.027553,0.317058,1.0e-03,121.9
12,0.000317,0.000117,0.002003,0.001857,0.001163,0.006942,0.034172,0.027010,0.358711,1.0e-03,132.1
13,0.000315,0.000114,0.002003,0.001901,0.001245,0.006557,0.035337,0.028615,0.362365,1.0e-03,142.5
14,0.000313,0.000113,0.002004,0.001790,0.001084,0.007066,0.032978,0.025938,0.361970,1.0e-03,152.8
15,0.000312,0.000111,0.002003,0.002016,0.001380,0.006358,0.037083,0.029440,0.364407,1.0e-03,163.2
16,0.000310,0.000110,0.002003,0.001933,0.001280,0.006532,0.035833,0.028617,0.381867,1.0e-03,173.6
17,0.000309,0.000109,0.002003,0.001963,0.001313,0.006494,0.036230,0.028998,0.378172,1.0e-03,183.8
18,0.000308,0.000108,0.002003,0.001997,0.001362,0.006357,0.036879,0.029831,0.350248,1.0e-03,194.1
19,0.000307,0.000107,0.002004,0.002023,0.001390,0.006328,0.037224,0.029612,0.343620,1.0e-03,204.4
20,0.000306,0.000106,0.002003,0.001906,0.001228,0.006778,0.035010,0.027495,0.361242,5.0e-04,214.7
21,0.000304,0.000103,0.002005,0.001992,0.001348,0.006438,0.036692,0.029203,0.341277,5.0e-04,224.9
22,0.000303,0.000103,0.002004,0.001888,0.001206,0.006823,0.034678,0.026859,0.301020,5.0e-04,235.1
23,0.000302,0.000102,0.002004,0.002002,0.001350,0.006521,0.036657,0.029007,0.297412,5.0e-04,245.3
24,0.000302,0.000102,0.002005,0.001989,0.001341,0.006487,0.036592,0.029175,0.285608,5.0e-04,255.5
25,0.000302,0.000101,0.002004,0.001925,0.001266,0.006583,0.035462,0.027845,0.255335,5.0e-04,265.7
26,0.000301,0.000101,0.002004,0.001981,0.001338,0.006435,0.036497,0.028879,0.248215,2.5e-04,276.0
27,0.000299,0.000099,0.002005,0.001960,0.001311,0.006494,0.036144,0.028829,0.256567,2.5e-04,286.1
28,0.000299,0.000099,0.002004,0.001919,0.001240,0.006792,0.035168,0.027490,0.242392,2.5e-04,296.3
29,0.000299,0.000098,0.002006,0.001928,0.001254,0.006737,0.035337,0.027618,0.245409,2.5e-04,306.4
