epoch,train_loss,train_ml_loss,train_phys_loss,val_loss,val_ml_loss,val_phys_loss,val_rmse,val_mae,val_max_error,lr,elapsed_s
0,0.001493,0.001120,0.003733,0.003852,0.002441,0.014112,0.048575,0.037083,0.258326,1.0e-03,10.7
1,0.000463,0.000161,0.003022,0.003832,0.002453,0.013786,0.048742,0.037426,0.228089,1.0e-03,21.6
2,0.000420,0.000119,0.003014,0.003929,0.002426,0.015039,0.048370,0.036601,0.200120,1.0e-03,33.0
3,0.000408,0.000106,0.003020,0.004069,0.002502,0.015673,0.049116,0.037123,0.196992,1.0e-03,43.8
4,0.000401,0.000099,0.003019,0.003929,0.002440,0.014897,0.048547,0.036652,0.201271,1.0e-03,54.9
5,0.000397,0.000095,0.003017,0.004030,0.002509,0.015207,0.049151,0.037440,0.193466,1.0e-03,65.9
6,0.000392,0.000090,0.003017,0.004134,0.002594,0.015395,0.049924,0.037803,0.210282,1.0e-03,76.9
7,0.000387,0.000085,0.003018,0.004028,0.002486,0.015417,0.049037,0.037380,0.197455,5.0e-04,87.8
8,0.000382,0.000080,0.003019,0.004073,0.002529,0.015442,0.049378,0.037434,0.205438,5.0e-04,98.8
9,0.000380,0.000078,0.003018,0.004265,0.002698,0.015667,0.050996,0.038580,0.204539,5.0e-04,109.8
10,0.000378,0.000077,0.003019,0.004130,0.002558,0.015717,0.049681,0.037637,0.195609,5.0e-04,120.2
11,0.000377,0.000075,0.003019,0.004035,0.002492,0.015422,0.049036,0.036995,0.198910,5.0e-04,131.2
12,0.000375,0.000074,0.003018,0.004057,0.002515,0.015420,0.049245,0.037187,0.199746,5.0e-04,142.6
13,0.000374,0.000072,0.003018,0.004085,0.002547,0.015388,0.049551,0.037431,0.196106,2.5e-04,153.6
14,0.000373,0.000071,0.003016,0.004091,0.002534,0.015575,0.049446,0.037230,0.204219,2.5e-04,164.5
15,0.000375,0.000073,0.003018,0.004028,0.002472,0.015560,0.048823,0.036803,0.200206,2.5e-04,175.4
16,0.000372,0.000070,0.003018,0.004069,0.002509,0.015605,0.049200,0.037073,0.200268,2.5e-04,186.3
