epoch,train_loss,train_ml_loss,train_phys_loss,val_loss,val_ml_loss,val_phys_loss,val_rmse,val_mae,val_max_error,lr,elapsed_s
0,0.001463,0.001194,0.002693,0.002743,0.002180,0.005631,0.046941,0.039126,0.273610,1.0e-03,10.0
1,0.000378,0.000180,0.001979,0.002171,0.001540,0.006308,0.039450,0.033184,0.150901,1.0e-03,20.1
2,0.000323,0.000125,0.001978,0.002013,0.001324,0.006893,0.036278,0.029124,0.170517,1.0e-03,30.3
3,0.000305,0.000106,0.001983,0.001993,0.001319,0.006738,0.036336,0.029017,0.178787,1.0e-03,40.3
4,0.000296,0.000098,0.001985,0.001896,0.001207,0.006890,0.034748,0.027370,0.202125,1.0e-03,50.3
5,0.000290,0.000091,0.001986,0.001881,0.001203,0.006786,0.034681,0.027260,0.212114,1.0e-03,60.3
6,0.000285,0.000086,0.001988,0.002102,0.001449,0.006531,0.038154,0.030648,0.221806,1.0e-03,70.3
7,0.000281,0.000083,0.001988,0.001890,0.001175,0.007159,0.034266,0.026040,0.219267,1.0e-03,80.4
8,0.000278,0.000079,0.001989,0.001914,0.001221,0.006929,0.035030,0.027218,0.234664,1.0e-03,90.4
9,0.000274,0.000075,0.001988,0.002146,0.001527,0.006196,0.039201,0.031663,0.236919,1.0e-03,100.2
10,0.000271,0.000073,0.001989,0.001871,0.001129,0.007426,0.033606,0.025439,0.215214,1.0e-03,110.1
11,0.000269,0.000070,0.001988,0.002089,0.001444,0.006446,0.038152,0.030659,0.228728,1.0e-03,120.0
12,0.000267,0.000068,0.001991,0.002028,0.001371,0.006570,0.037105,0.030054,0.217516,1.0e-03,129.8
13,0.000265,0.000066,0.001989,0.001955,0.001277,0.006779,0.035847,0.028824,0.203213,1.0e-03,139.7
14,0.000264,0.000065,0.001993,0.002094,0.001459,0.006348,0.038327,0.031206,0.204299,1.0e-03,149.6
15,0.000263,0.000064,0.001991,0.001875,0.001171,0.007040,0.034251,0.027167,0.178834,1.0e-03,159.6
16,0.000261,0.000062,0.001991,0.001886,0.001197,0.006890,0.034613,0.027694,0.173078,5.0e-04,169.6
17,0.000258,0.000058,0.001992,0.002019,0.001361,0.006586,0.036945,0.030074,0.181899,5.0e-04,179.5
18,0.000257,0.000058,0.001993,0.001955,0.001287,0.006682,0.035912,0.028908,0.176561,5.0e-04,189.4
19,0.000256,0.000057,0.001993,0.001944,0.001266,0.006783,0.035597,0.028858,0.170540,5.0e-04,199.4
20,0.000256,0.000057,0.001993,0.001972,0.001307,0.006650,0.036198,0.029429,0.170371,5.0e-04,209.3
21,0.000255,0.000056,0.001993,0.001945,0.001274,0.006711,0.035701,0.028893,0.164391,5.0e-04,219.2
22,0.000255,0.000055,0.001994,0.001983,0.001313,0.006694,0.036270,0.029493,0.156513,2.5e-04,229.1
23,0.000254,0.000054,0.001997,0.001952,0.001278,0.006748,0.035750,0.029047,0.155043,2.5e-04,239.1
24,0.000253,0.000054,0.001994,0.001936,0.001261,0.006754,0.035539,0.028924,0.149623,2.5e-04,249.2
25,0.000253,0.000054,0.001994,0.001932,0.001261,0.006717,0.035505,0.028944,0.154169,2.5e-04,259.3
