epoch,train_loss,train_ml_loss,train_phys_loss,val_loss,val_ml_loss,val_phys_loss,val_rmse,val_mae,val_max_error,lr,elapsed_s
0,0.001366,0.001366,0.000000,0.002530,0.002530,0.000000,0.049323,0.036900,0.287865,1.0e-03,9.8
1,0.000299,0.000299,0.000000,0.002443,0.002443,0.000000,0.048494,0.035692,0.244058,1.0e-03,18.2
2,0.000273,0.000273,0.000000,0.002395,0.002395,0.000000,0.048135,0.036139,0.237191,1.0e-03,27.1
3,0.000266,0.000266,0.000000,0.002346,0.002346,0.000000,0.047626,0.035311,0.227938,1.0e-03,36.0
4,0.000248,0.000248,0.000000,0.002299,0.002299,0.000000,0.047270,0.035106,0.225125,1.0e-03,44.1
5,0.000237,0.000237,0.000000,0.002453,0.002453,0.000000,0.048507,0.036006,0.206717,1.0e-03,53.4
6,0.000226,0.000226,0.000000,0.002819,0.002819,0.000000,0.051803,0.039713,0.200614,1.0e-03,62.3
7,0.000217,0.000217,0.000000,0.002416,0.002416,0.000000,0.048189,0.035864,0.201122,1.0e-03,70.9
8,0.000209,0.000209,0.000000,0.002378,0.002378,0.000000,0.047791,0.035256,0.196272,1.0e-03,79.2
9,0.000204,0.000204,0.000000,0.002487,0.002487,0.000000,0.048941,0.036248,0.198789,1.0e-03,88.0
10,0.000201,0.000201,0.000000,0.002689,0.002689,0.000000,0.050707,0.037798,0.201827,5.0e-04,96.8
11,0.000196,0.000196,0.000000,0.002530,0.002530,0.000000,0.049374,0.036690,0.201989,5.0e-04,105.0
12,0.000194,0.000194,0.000000,0.002454,0.002454,0.000000,0.048669,0.036272,0.198432,5.0e-04,113.9
13,0.000193,0.000193,0.000000,0.002453,0.002453,0.000000,0.048524,0.036038,0.198076,5.0e-04,123.1
14,0.000192,0.000192,0.000000,0.002450,0.002450,0.000000,0.048497,0.036008,0.196838,5.0e-04,131.6
15,0.000190,0.000190,0.000000,0.002534,0.002534,0.000000,0.049298,0.036565,0.197906,5.0e-04,140.4
16,0.000189,0.000189,0.000000,0.002517,0.002517,0.000000,0.049147,0.036429,0.198839,2.5e-04,149.2
17,0.000186,0.000186,0.000000,0.002493,0.002493,0.000000,0.048935,0.036248,0.200194,2.5e-04,158.1
18,0.000186,0.000186,0.000000,0.002539,0.002539,0.000000,0.049371,0.036710,0.198805,2.5e-04,166.3
19,0.000185,0.000185,0.000000,0.002466,0.002466,0.000000,0.048726,0.036162,0.196567,2.5e-04,175.2
