epoch,train_loss,train_ml_loss,train_phys_loss,val_loss,val_ml_loss,val_phys_loss,val_rmse,val_mae,val_max_error,lr,elapsed_s
0,0.001253,0.001253,0.000000,0.001988,0.001988,0.000000,0.045129,0.037214,0.262280,1.0e-03,8.8
1,0.000157,0.000157,0.000000,0.001043,0.001043,0.000000,0.032423,0.024347,0.151004,1.0e-03,17.3
2,0.000100,0.000100,0.000000,0.001021,0.001021,0.000000,0.032125,0.024374,0.129947,1.0e-03,25.8
3,0.000082,0.000082,0.000000,0.000970,0.000970,0.000000,0.031416,0.023781,0.136231,1.0e-03,34.3
4,0.000073,0.000073,0.000000,0.001109,0.001109,0.000000,0.033658,0.025864,0.139239,1.0e-03,42.7
5,0.000067,0.000067,0.000000,0.000952,0.000952,0.000000,0.031142,0.023645,0.141708,1.0e-03,51.2
6,0.000061,0.000061,0.000000,0.000940,0.000940,0.000000,0.030953,0.023667,0.138282,1.0e-03,59.7
7,0.000057,0.000057,0.000000,0.000914,0.000914,0.000000,0.030468,0.022491,0.141134,1.0e-03,68.0
8,0.000053,0.000053,0.000000,0.001061,0.001061,0.000000,0.032913,0.025593,0.160853,1.0e-03,76.5
9,0.000051,0.000051,0.000000,0.000955,0.000955,0.000000,0.031194,0.023176,0.170879,1.0e-03,85.1
10,0.000048,0.000048,0.000000,0.001045,0.001045,0.000000,0.032659,0.024128,0.201369,1.0e-03,93.5
11,0.000045,0.000045,0.000000,0.001035,0.001035,0.000000,0.032488,0.024311,0.216024,1.0e-03,101.9
12,0.000043,0.000043,0.000000,0.000914,0.000914,0.000000,0.030500,0.022594,0.213489,1.0e-03,110.2
13,0.000041,0.000041,0.000000,0.001105,0.001105,0.000000,0.033585,0.025489,0.216932,5.0e-04,118.6
14,0.000037,0.000037,0.000000,0.000997,0.000997,0.000000,0.031923,0.023731,0.215033,5.0e-04,126.9
15,0.000036,0.000036,0.000000,0.000942,0.000942,0.000000,0.030990,0.022750,0.213981,5.0e-04,135.2
16,0.000036,0.000036,0.000000,0.001012,0.001012,0.000000,0.032120,0.024018,0.214003,5.0e-04,143.4
17,0.000036,0.000036,0.000000,0.000966,0.000966,0.000000,0.031404,0.023363,0.199799,5.0e-04,151.7
18,0.000036,0.000036,0.000000,0.000993,0.000993,0.000000,0.031832,0.023702,0.187031,5.0e-04,160.1
19,0.000035,0.000035,0.000000,0.001035,0.001035,0.000000,0.032504,0.024571,0.199934,2.5e-04,168.5
20,0.000032,0.000032,0.000000,0.000999,0.000999,0.000000,0.031913,0.023813,0.198650,2.5e-04,176.9
21,0.000032,0.000032,0.000000,0.000999,0.000999,0.000000,0.031926,0.023795,0.202043,2.5e-04,185.3
22,0.000032,0.000032,0.000000,0.001014,0.001014,0.000000,0.032150,0.023814,0.201000,2.5e-04,193.6
